location_id,image,caption
10,images/locations/gallery/IMG_0008.JPG,External access ramp and adjacent staircase.
10,images/locations/gallery/IMG_0017.JPG,Accessible internal ramp connecting levels in the main foyer.
11,images/locations/gallery/IMG_0292.JPG,Main entrance to the Meston Building.
11,images/locations/gallery/IMG_0302.JPG,External ramp leading to an accessible entrance.
11,images/locations/gallery/IMG_0305.JPG,Passenger lift inside the Meston Building.
12,images/locations/gallery/IMG_0320.JPG,Main entrance to the Fraser Noble Building.
12,images/locations/gallery/IMG_0326.JPG,Accessible internal ramp with handrails.
12,images/locations/gallery/IMG_0330.JPG,Passenger lift inside the Fraser Noble Building.
13,images/locations/gallery/IMG_0367.JPG,Main entrance to the Cruickshank Building.
13,images/locations/gallery/IMG_0371.JPG,Reception window and ground-floor directory.
13,images/locations/gallery/IMG_0374.JPG,Passenger lift inside the Cruickshank Building.
15,images/locations/gallery/IMG_0114.JPG,Block entrance approached by steps and an adjacent ramp.
15,images/locations/gallery/IMG_0683.JPG,Automatic ground-level external entrance.
16,images/locations/gallery/IMG_0177.JPG,Steps and adjacent sloped route leading towards the main entrance.
16,images/locations/gallery/IMG_0180.JPG,Automatic glass doors at the main entrance.
16,images/locations/gallery/IMG_0181.JPG,Building maps and information immediately inside the main entrance.
17,images/locations/gallery/IMG_0041.JPG,Main entrance to Regent Building.
17,images/locations/gallery/IMG_0042.JPG,Street-facing exterior and level approach to the main entrance.
17,images/locations/gallery/IMG_0549.JPG,Interior entrance area near the Regent Lecture Theatre.
18,images/locations/gallery/IMG_0379.JPG,External approach with steps and an adjacent sloped route.
18,images/locations/gallery/IMG_0380.JPG,Main glass entrance to Crombie Annexe.
18,images/locations/gallery/IMG_0381.JPG,Internal staircase immediately inside the entrance.
21,images/locations/gallery/IMG_0210.JPG,Street-facing exterior and main entrance of the Multi-Faith Chaplaincy.
21,images/locations/gallery/IMG_0536.JPG,Accessible toilet entrance and facility signage.
21,images/locations/gallery/IMG_0538.JPG,Entrance lobby with information displays and noticeboards.
27,images/locations/gallery/IMG_0132.JPG,Street entrance to the Counselling Service at 5 Dunbar Street.
27,images/locations/gallery/IMG_0133.JPG,Open gateway and paved path leading to the Counselling Service.
27,images/locations/gallery/IMG_0135.JPG,Main entrance to the Counselling Service.
29,images/locations/gallery/IMG_0104.JPG,External access ramp beside Edward Wright Annexe.
29,images/locations/gallery/IMG_0106.JPG,Entrance with external steps and an adjacent access ramp.
29,images/locations/gallery/IMG_0118.JPG,Automatic glass entrance doors.
30,images/locations/gallery/IMG_0401.JPG,Exterior view of Rocking Horse Nursery and the adjacent parking area.
30,images/locations/gallery/IMG_0403.JPG,Covered entrance and paved approach to Rocking Horse Nursery.
35,images/locations/gallery/IMG_0344.JPG,Ground-level entrance and external access ramp at Elphinstone Road Hall.
35,images/locations/gallery/IMG_0345.JPG,Main residential entrance with a level pavement approach.
35,images/locations/gallery/IMG_0346.JPG,Accessible parking bay and bicycle stands beside Elphinstone Road Hall.
36,images/locations/gallery/IMG_0390.JPG,Exterior view of King's Hall and surrounding landscaped grounds.
36,images/locations/gallery/IMG_0391.JPG,Main residential entrance to King's Hall.
37,images/locations/gallery/IMG_0278.JPG,Ground-level entrance to King's Pavilion.
37,images/locations/gallery/IMG_0280.JPG,Reception and seating area inside King's Pavilion.
37,images/locations/gallery/IMG_0281.JPG,Internal platform lift beside the seating area.
40,images/locations/gallery/IMG_0385.JPG,Main entrance to Crombie Halls.
40,images/locations/gallery/IMG_0387.JPG,Reception desk and ground-floor foyer.
40,images/locations/gallery/IMG_0396.JPG,Narrow level path along the side of Crombie Halls.
